时间,商品名称,库存变化,单笔销量
2026-09-08 19:49:01,kkt,初始销量：2500,0
2026-09-08 19:49:01,line,初始销量：2500,0
2026-09-09 11:30:03,line,2500->2499,1
2026-09-10 10:57:25,kkt,2500->2478,22
2026-09-10 22:48:39,kkt,2478->2460,18
2026-09-10 22:51:43,kkt,2460->2425,35
2026-09-10 22:52:35,line,2499->2485,14
2026-09-10 22:55:02,kkt,2425->2402,23
2026-09-10 22:57:41,kkt,2402->2381,21
2026-09-10 22:59:27,kkt,2381->2346,35
2026-09-10 22:59:59,line,2485->2477,8
2026-09-10 23:00:18,kkt,2346->2281,65
2026-09-10 23:00:18,line,2477->2432,45
2026-09-10 23:01:07,kkt,2281->2229,52
2026-09-10 23:01:07,line,2432->2361,71
