时间,商品名称,库存变化,单笔销量
2026-09-08 19:43:31,FAN线下签售,初始库存: 2500,0
2026-09-10 07:34:39,FAN线下签售,2500 -> 2479,21
2026-09-10 21:48:57,FAN线下签售,2479 -> 2454,25
2026-09-10 22:12:06,FAN线下签售,2454 -> 2432,22
2026-09-10 22:37:42,FAN线下签售,2432 -> 2402,30
2026-09-10 22:40:17,FAN线下签售,2402 -> 2368,34
2026-09-10 22:42:41,FAN线下签售,2368 -> 2333,35
2026-09-10 22:53:24,FAN线下签售,2333 -> 2304,29
2026-09-10 22:55:31,FAN线下签售,2304 -> 2290,14
2026-09-10 22:57:55,FAN线下签售,2290 -> 2285,5
2026-09-10 22:58:35,FAN线下签售,2285 -> 2261,24
2026-09-10 22:59:29,FAN线下签售,2261 -> 2168,93
2026-09-10 23:00:16,FAN线下签售,2168 -> 1886,282
2026-09-10 23:00:57,FAN线下签售,1886 -> 1707,179
2026-09-10 23:15:32,FAN线下签售,1707 -> 1914,-207
