时间,商品名称,库存变化,单笔销量
2026-09-08 19:48:57,kkt,初始销量：2500,0
2026-09-08 19:48:57,line,初始销量：2500,0
2026-09-08 22:32:03,kkt,2500->2472,28
2026-09-09 02:11:51,kkt,2472->2402,70
2026-09-10 07:34:18,kkt,2402->2377,25
2026-09-10 10:56:38,kkt,2377->2327,50
2026-09-10 13:54:44,kkt,2327->2313,14
2026-09-10 16:46:34,kkt,2313->2306,7
2026-09-10 19:27:34,kkt,2306->2275,31
2026-09-10 21:09:28,kkt,2275->2257,18
2026-09-10 22:00:23,kkt,2257->2242,15
2026-09-10 22:28:51,line,2500->2498,2
2026-09-10 22:35:07,kkt,2242->2207,35
2026-09-10 22:57:58,kkt,2207->2201,6
