时间,商品名称,库存变化,单笔销量
2026-09-08 19:43:33,JUNPYO_DIY,初始库存: 2500,0
2026-09-10 21:37:44,JUNPYO_DIY,2500 -> 2495,5
2026-09-10 21:46:06,JUNPYO_DIY,2495 -> 2483,12
2026-09-10 21:50:30,JUNPYO_DIY,2483 -> 2473,10
2026-09-10 21:55:16,JUNPYO_DIY,2473 -> 2478,-5
2026-09-10 22:16:11,JUNPYO_DIY,2478 -> 2472,6
2026-09-10 22:27:18,JUNPYO_DIY,2472 -> 2466,6
2026-09-10 22:31:34,JUNPYO_DIY,2466 -> 2460,6
2026-09-10 22:32:21,JUNPYO_DIY,2460 -> 2437,23
2026-09-10 22:37:15,JUNPYO_DIY,2437 -> 2404,33
2026-09-10 22:41:18,JUNPYO_DIY,2404 -> 2387,17
