时间,商品名称,库存变化,单笔销量
2026-09-08 19:48:59,kkt,初始销量：2500,0
2026-09-08 19:48:59,line,初始销量：2500,0
2026-09-09 02:39:52,kkt,2500->2492,8
2026-09-10 20:25:35,kkt,2492->2484,8
2026-09-10 20:36:51,line,2500->2485,15
2026-09-10 21:02:43,line,2485->2465,20
2026-09-10 21:04:01,line,2465->2480,-15
2026-09-10 22:04:26,kkt,2484->2472,12
2026-09-10 22:12:39,kkt,2472->2457,15
2026-09-10 22:20:48,kkt,2457->2441,16
2026-09-10 22:45:36,kkt,2441->2419,22
2026-09-10 22:49:24,line,2480->2474,6
2026-09-10 22:51:27,kkt,2419->2399,20
2026-09-10 22:52:00,kkt,2399->2364,35
2026-09-10 22:55:36,kkt,2364->2355,9
2026-09-10 22:56:37,kkt,2355->2346,9
2026-09-10 22:56:37,line,2474->2464,10
2026-09-10 22:57:02,kkt,2346->2334,12
2026-09-10 22:58:30,kkt,2334->2329,5
