时间,商品名称,库存变化,单笔销量
2026-09-08 19:43:34,LIN_DIY,初始库存: 2500,0
2026-09-10 19:21:44,LIN_DIY,2500 -> 2482,18
2026-09-10 21:10:27,LIN_DIY,2482 -> 2462,20
2026-09-10 22:34:53,LIN_DIY,2462 -> 2422,40
2026-09-10 22:37:46,LIN_DIY,2422 -> 2408,14
2026-09-10 22:40:24,LIN_DIY,2408 -> 2358,50
2026-09-10 22:48:40,LIN_DIY,2358 -> 2293,65
2026-09-10 22:52:53,LIN_DIY,2293 -> 2273,20
2026-09-10 22:56:30,LIN_DIY,2273 -> 2212,61
2026-09-10 22:58:50,LIN_DIY,2212 -> 2186,26
2026-09-10 23:00:31,LIN_DIY,2186 -> 2025,161
