时间,商品名称,库存变化,单笔销量
2026-09-08 19:49:00,kkt,初始销量：2500,0
2026-09-08 19:49:00,line,初始销量：2500,0
2026-09-10 20:48:31,line,2500->2475,25
2026-09-10 22:43:28,kkt,2500->2490,10
2026-09-10 22:50:57,kkt,2490->2481,9
2026-09-10 22:51:41,kkt,2481->2469,12
2026-09-10 22:53:27,kkt,2469->2436,33
2026-09-10 22:55:39,kkt,2436->2420,16
2026-09-10 22:56:14,kkt,2420->2404,16
2026-09-10 22:58:06,kkt,2404->2384,20
2026-09-10 22:58:06,line,2475->2438,37
2026-09-10 22:58:37,line,2438->2431,7
2026-09-10 22:59:23,kkt,2384->2378,6
2026-09-10 22:59:56,kkt,2378->2373,5
