时间,商品名称,库存变化,单笔销量
2026-09-08 19:43:31,LIN线下签售,初始库存: 2500,0
2026-09-10 18:26:13,LIN线下签售,2500 -> 2467,33
2026-09-10 18:32:20,LIN线下签售,2467 -> 2445,22
2026-09-10 18:45:38,LIN线下签售,2445 -> 2478,-33
2026-09-10 21:17:58,LIN线下签售,2478 -> 2452,26
2026-09-10 21:26:07,LIN线下签售,2452 -> 2433,19
2026-09-10 21:40:06,LIN线下签售,2433 -> 2426,7
2026-09-10 22:27:10,LIN线下签售,2426 -> 2405,21
2026-09-10 22:32:16,LIN线下签售,2405 -> 2380,25
2026-09-10 22:33:54,LIN线下签售,2380 -> 2340,40
2026-09-10 22:39:44,LIN线下签售,2340 -> 2326,14
2026-09-10 22:43:15,LIN线下签售,2326 -> 2319,7
2026-09-10 22:49:24,LIN线下签售,2319 -> 2280,39
